site,plot,common.name,scientific.name,family,assessment.method,season,recapture,lifestyle,date
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,DryB,Eastern Earless Skink,Hemiergis talbingoensis talbingoensis,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Delicate Skink,Lampropholis delicata,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Delicate Skink,Lampropholis delicata,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetA,Robust Ctenotus,Ctenotus robustus,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Weasel Skink,Saproscincus mustelinus,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,funnel,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Delicate Skink,Lampropholis delicata,Scincidae,pitfall,fall.2021,,terrestrial,19/4/2021
Duval,WetB,Eastern Long-necked Turtle,Chelodina longicollis,Chelidae,incidentals,fall.2021,,terrestrial,19/4/2021
Duval,DryA,Delicate Skink,Lampropholis delicata,Scincidae,funnel,fall.2021,,terrestrial,20/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
Duval,DryA,Garden Skink,Lampropholis guichenoti,Scincidae,pitfall,fall.2021,,terrestrial,20/4/2021
